Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,User_Score,Rating
PS3,2011,Action,Warner Bros. Interactive Entertainment,2.71,1.85,0.11,0.81,5.48,96.0,8.6,T
XOne,2014,Action,Take-Two Interactive,2.81,2.19,0.0,0.47,5.48,97.0,7.9,M
GBA,2001,Racing,Nintendo,2.62,1.64,0.99,0.23,5.47,93.0,8.3,E
GBA,2001,Platform,Nintendo,3.21,1.11,0.95,0.2,5.46,71.0,7.5,
N64,1999,Strategy,Nintendo,3.18,1.24,0.94,0.09,5.45,71.0,7.5,
PS2,2001,Platform,Universal Interactive,2.07,2.29,0.24,0.82,5.42,66.0,7.1,E
PS3,2008,Shooter,Activision,2.73,1.83,0.0,0.83,5.39,85.0,7.6,M
PS4,2016,Shooter,Sony Computer Entertainment,1.85,2.5,0.19,0.85,5.38,93.0,7.9,T
GB,1989,Puzzle,Nintendo,2.18,0.96,2.0,0.2,5.34,71.0,7.5,
PS3,2009,Role-Playing,Square Enix,1.74,1.21,1.87,0.51,5.33,83.0,7.3,T
GB,1999,Misc,Nintendo,3.02,1.12,1.01,0.16,5.31,71.0,7.5,
PS,2000,Role-Playing,SquareSoft,1.62,0.77,2.78,0.14,5.3,94.0,8.9,T
X360,2012,Action,Ubisoft,3.13,1.69,0.03,0.44,5.29,84.0,6.7,M
PS2,2003,Role-Playing,Electronic Arts,1.92,1.08,2.11,0.17,5.29,85.0,6.6,T
N64,1999,Platform,Nintendo,3.33,0.79,1.09,0.06,5.27,71.0,7.5,
XOne,2014,Shooter,Activision,3.22,1.55,0.01,0.48,5.27,81.0,5.4,M
PS3,2014,Misc,Sony Computer Entertainment,2.03,2.37,0.0,0.87,5.26,71.0,7.5,
X360,2009,Action,Ubisoft,3.11,1.55,0.08,0.51,5.26,90.0,8.8,M
PS,1997,Action,Eidos Interactive,2.3,2.46,0.2,0.28,5.24,85.0,7.5,T
3DS,2013,Simulation,Nintendo,0.97,2.11,1.9,0.24,5.23,71.0,7.5,
WiiU,2012,Platform,Nintendo,2.3,1.34,1.27,0.32,5.22,84.0,8.1,E
PS2,2004,Role-Playing,Square Enix,0.65,0.75,3.61,0.2,5.21,89.0,8.8,T
GBA,2003,Platform,Nintendo,2.93,1.25,0.83,0.2,5.2,71.0,7.5,
DS,2007,Puzzle,Nintendo,1.21,2.43,1.03,0.52,5.19,85.0,8.6,E
GB,1994,Platform,Nintendo,2.49,0.98,1.57,0.15,5.19,71.0,7.5,
X360,2012,Action,Electronic Arts,1.09,3.47,0.03,0.57,5.16,90.0,6.1,E
SNES,1995,Platform,Nintendo,2.1,0.74,2.2,0.11,5.15,71.0,7.5,
PC,2012,Role-Playing,Activision,2.44,2.16,0.0,0.54,5.14,88.0,4.0,M
PS2,2003,Shooter,Electronic Arts,1.98,2.23,0.13,0.8,5.13,68.0,7.6,T
GB,1992,Platform,Nintendo,2.71,0.61,1.7,0.11,5.13,71.0,7.5,
PC,1996,Simulation,Microsoft Game Studios,3.22,1.69,0.0,0.2,5.12,71.0,7.5,
PS2,2006,Misc,RedOctane,3.81,0.63,0.0,0.68,5.12,92.0,8.5,T
X360,2010,Role-Playing,Microsoft Game Studios,3.59,1.08,0.05,0.38,5.1,80.0,6.5,M
DS,2008,Sports,Sega,1.63,2.45,0.44,0.57,5.09,71.0,7.5,
PS3,2009,Action,Capcom,1.96,1.41,1.08,0.64,5.09,84.0,7.5,M
DS,2007,Action,Nintendo,1.85,1.8,0.95,0.48,5.08,90.0,8.0,E
GB,1999,Platform,Nintendo,3.4,1.3,0.15,0.22,5.07,71.0,7.5,
PS3,2010,Sports,Electronic Arts,0.61,3.28,0.06,1.12,5.07,89.0,8.0,E
PS,1996,Action,Virgin Interactive,2.05,1.16,1.11,0.73,5.05,91.0,9.0,M
PSP,2006,Action,Take-Two Interactive,1.7,1.99,0.16,1.18,5.03,86.0,8.0,M
PS,1999,Sports,Activision,3.42,1.38,0.02,0.2,5.02,92.0,9.2,T
PS,1999,Strategy,Eidos Interactive,2.79,1.89,0.0,0.33,5.01,71.0,7.5,
PS,1998,Platform,Sony Computer Entertainment,3.36,1.36,0.07,0.21,5.0,71.0,7.5,
PS2,2007,Misc,Activision,3.49,0.01,0.01,1.48,4.98,82.0,8.2,T
Wii,2007,Shooter,Nintendo,3.05,1.17,0.29,0.46,4.98,68.0,7.1,T
