Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,User_Score,Rating
PSV,2012,Adventure,Level 5,0.0,0.0,0.05,0.0,0.05,71.0,7.5,
PSP,2012,Misc,Idea Factory,0.0,0.0,0.05,0.0,0.05,71.0,7.5,
X360,2006,Misc,Oxygen Interactive,0.04,0.0,0.0,0.0,0.05,71.0,7.5,
X360,2013,Shooter,Activision,0.04,0.0,0.0,0.0,0.05,71.0,6.1,E10+
DS,2007,Platform,Phenomedia,0.04,0.0,0.0,0.0,0.05,71.0,7.5,
PSV,2011,Adventure,ChunSoft,0.0,0.0,0.05,0.0,0.05,71.0,7.5,
XB,2004,Misc,Crave Entertainment,0.03,0.01,0.0,0.0,0.05,71.0,7.5,
PS,1999,Racing,Infogrames,0.03,0.02,0.0,0.0,0.05,71.0,7.5,
Wii,2007,Shooter,505 Games,0.04,0.0,0.0,0.0,0.05,71.0,7.5,E10+
3DS,2011,Shooter,Atari,0.04,0.0,0.0,0.0,0.05,71.0,7.5,E10+
X360,2007,Sports,Activision Value,0.04,0.0,0.0,0.0,0.05,39.0,3.0,T
XOne,2016,Strategy,Take-Two Interactive,0.02,0.02,0.0,0.0,0.05,87.0,8.1,T
X360,2014,Action,Tecmo Koei,0.03,0.01,0.0,0.0,0.05,50.0,5.3,M
3DS,2014,Role-Playing,Sega,0.0,0.0,0.05,0.0,0.05,71.0,7.5,
X360,2010,Shooter,Conspiracy Entertainment,0.04,0.0,0.0,0.0,0.05,48.0,4.8,T
GC,2002,Racing,Ubisoft,0.04,0.01,0.0,0.0,0.05,71.0,7.5,
GC,2002,Racing,Atari,0.04,0.01,0.0,0.0,0.05,56.0,7.5,T
PSV,2014,Action,FuRyu,0.0,0.0,0.05,0.0,0.05,71.0,7.5,
DS,2011,Puzzle,Unknown,0.0,0.04,0.0,0.01,0.05,71.0,7.5,
PS2,2001,Action,Sony Computer Entertainment,0.0,0.0,0.05,0.0,0.05,71.0,7.5,
XB,2002,Sports,Codemasters,0.03,0.01,0.0,0.0,0.05,37.0,7.5,T
DS,2007,Action,Game Factory,0.03,0.01,0.0,0.0,0.05,63.0,6.8,E10+
GBA,2005,Platform,Namco Bandai Games,0.03,0.01,0.0,0.0,0.05,71.0,7.5,
3DS,2016,Adventure,Happinet,0.0,0.0,0.05,0.0,0.05,71.0,7.5,
Wii,2007,Sports,SouthPeak Games,0.04,0.0,0.0,0.0,0.05,32.0,0.7,E
X360,2008,Sports,Activision,0.04,0.0,0.0,0.0,0.05,41.0,7.2,E
PSP,2012,Action,Idea Factory,0.0,0.0,0.05,0.0,0.05,71.0,7.5,
DS,2008,Adventure,Idea Factory,0.0,0.0,0.05,0.0,0.05,71.0,7.5,
PC,2006,Strategy,THQ,0.0,0.04,0.0,0.01,0.05,93.0,8.8,M
PSP,2011,Adventure,Comfort,0.0,0.0,0.05,0.0,0.05,71.0,7.5,
Wii,2008,Misc,Majesco Entertainment,0.04,0.0,0.0,0.0,0.05,37.0,4.5,E
PC,2011,Sports,Home Entertainment Suppliers,0.0,0.04,0.0,0.01,0.05,71.0,7.5,
PSV,2014,Role-Playing,Tecmo Koei,0.0,0.0,0.05,0.0,0.05,71.0,7.5,
PS,1999,Adventure,Eidos Interactive,0.03,0.02,0.0,0.0,0.05,71.0,7.5,
PS3,2016,Misc,Ubisoft,0.01,0.03,0.0,0.01,0.05,71.0,7.5,E10+
PS4,2016,Racing,Milestone S.r.l,0.0,0.04,0.0,0.01,0.05,71.0,8.0,E
Wii,2006,Simulation,Konami Digital Entertainment,0.03,0.01,0.01,0.0,0.05,47.0,4.9,E
PC,2007,Simulation,Ubisoft,0.0,0.04,0.0,0.01,0.05,79.0,6.9,T
PSP,2006,Role-Playing,Sony Computer Entertainment,0.0,0.0,0.05,0.0,0.05,71.0,7.5,
PS,2000,Misc,Pony Canyon,0.03,0.02,0.0,0.0,0.05,71.0,7.5,
DS,2009,Action,Midas Interactive Entertainment,0.0,0.04,0.0,0.0,0.05,71.0,7.5,
XB,2004,Strategy,LucasArts,0.03,0.01,0.0,0.0,0.05,69.0,7.0,T
DS,2006,Adventure,Zoo Digital Publishing,0.04,0.0,0.0,0.0,0.05,34.0,1.7,E
DS,2008,Puzzle,Deep Silver,0.04,0.0,0.0,0.0,0.05,53.0,7.5,E
SAT,1996,Fighting,SNK,0.0,0.0,0.05,0.0,0.05,71.0,7.5,
X360,2009,Misc,Microsoft Game Studios,0.0,0.04,0.0,0.01,0.05,71.0,7.5,
DS,2007,Puzzle,Ignition Entertainment,0.04,0.0,0.0,0.0,0.05,71.0,7.5,
PSP,2008,Fighting,Sony Computer Entertainment,0.0,0.0,0.05,0.0,0.05,71.0,7.5,
GBA,2003,Action,Atlus,0.03,0.01,0.0,0.0,0.05,75.0,8.4,T
PSP,2014,Action,Tecmo Koei,0.0,0.0,0.05,0.0,0.05,71.0,7.5,
DS,2010,Sports,Storm City Games,0.04,0.0,0.0,0.0,0.05,71.0,7.5,
PS3,2006,Action,Capcom,0.0,0.0,0.05,0.0,0.05,71.0,7.5,
DS,2008,Misc,Rising Star Games,0.04,0.0,0.0,0.0,0.05,72.0,7.5,E
PC,2010,Misc,Warner Bros. Interactive Entertainment,0.04,0.0,0.0,0.0,0.05,71.0,7.5,EC
XB,2005,Misc,Crave Entertainment,0.03,0.01,0.0,0.0,0.05,60.0,2.7,E
DS,2005,Puzzle,Atari,0.04,0.0,0.0,0.0,0.05,38.0,6.2,E
PS,2001,Puzzle,Ubisoft,0.03,0.02,0.0,0.0,0.05,71.0,7.5,
PS2,2002,Sports,SquareSoft,0.0,0.0,0.05,0.0,0.05,71.0,7.5,
XB,2003,Shooter,THQ,0.03,0.01,0.0,0.0,0.05,70.0,9.3,T
DS,2010,Sports,Arc System Works,0.04,0.0,0.01,0.0,0.05,71.0,7.5,T
DS,2006,Misc,Nintendo,0.0,0.0,0.05,0.0,0.05,71.0,7.5,
DS,2004,Racing,Big Ben Interactive,0.04,0.0,0.0,0.0,0.05,71.0,7.5,E
PSV,2016,Adventure,PQube,0.0,0.03,0.01,0.01,0.05,78.0,7.8,M
XB,2003,Platform,SCi,0.03,0.01,0.0,0.0,0.05,58.0,6.9,T
PC,2007,Strategy,THQ,0.0,0.04,0.0,0.01,0.05,86.0,8.3,E10+
Wii,2009,Sports,Playlogic Game Factory,0.04,0.0,0.0,0.0,0.05,62.0,5.3,E
PC,2009,Shooter,Activision,0.01,0.03,0.0,0.01,0.05,74.0,7.3,M
DS,2008,Simulation,Ubisoft,0.04,0.0,0.0,0.0,0.05,71.0,8.6,E
3DS,2011,Misc,Capcom,0.0,0.0,0.05,0.0,0.05,71.0,7.5,
N64,1999,Racing,Takara,0.0,0.0,0.05,0.0,0.05,71.0,7.5,
PC,2001,Simulation,Microsoft Game Studios,0.0,0.04,0.0,0.01,0.05,84.0,8.4,E
GBA,2003,Misc,Activision,0.03,0.01,0.0,0.0,0.05,79.0,7.5,E
3DS,2011,Misc,DTP Entertainment,0.0,0.04,0.0,0.0,0.05,71.0,7.5,E
PS,1997,Sports,GT Interactive,0.03,0.02,0.0,0.0,0.05,71.0,7.5,
PSV,2014,Adventure,Idea Factory,0.0,0.0,0.05,0.0,0.05,71.0,7.5,
XOne,2016,Shooter,Capcom,0.04,0.0,0.0,0.0,0.05,63.0,6.3,M
DS,2011,Platform,Unknown,0.0,0.04,0.0,0.0,0.05,71.0,7.5,
XB,2004,Shooter,Crave Entertainment,0.03,0.01,0.0,0.0,0.05,31.0,7.5,T
DS,2008,Platform,Ubisoft,0.03,0.01,0.0,0.0,0.05,58.0,6.3,T
DS,2011,Adventure,Banpresto,0.0,0.0,0.05,0.0,0.05,71.0,7.5,
DS,2011,Role-Playing,Atlus,0.0,0.0,0.05,0.0,0.05,71.0,7.5,
GC,2004,Shooter,Empire Interactive,0.03,0.01,0.0,0.0,0.05,35.0,2.0,M
PS4,2016,Action,Square Enix,0.0,0.04,0.0,0.01,0.05,71.0,7.5,
PS2,2009,Racing,THQ,0.02,0.02,0.0,0.01,0.05,71.0,7.5,E
PSV,2015,Role-Playing,Tecmo Koei,0.0,0.0,0.05,0.0,0.05,71.0,7.5,
Wii,2007,Action,Take-Two Interactive,0.04,0.01,0.0,0.0,0.05,39.0,5.9,T
DS,2010,Racing,Ubisoft,0.04,0.0,0.0,0.0,0.05,71.0,7.5,E
SCD,1994,Misc,Sega,0.0,0.0,0.04,0.0,0.05,71.0,7.5,
PS,1999,Puzzle,Mindscape,0.03,0.02,0.0,0.0,0.04,71.0,7.5,
PC,2009,Adventure,DTP Entertainment,0.0,0.04,0.0,0.01,0.04,71.0,7.5,
DS,2007,Simulation,Eidos Interactive,0.0,0.04,0.0,0.01,0.04,67.0,6.6,E
DS,2006,Action,THQ,0.04,0.0,0.0,0.0,0.04,71.0,7.5,
GBA,2005,Role-Playing,Banpresto,0.0,0.0,0.04,0.0,0.04,71.0,7.5,
PS,1995,Simulation,Riverhillsoft,0.0,0.0,0.04,0.0,0.04,71.0,7.5,
X360,2010,Racing,Microsoft Game Studios,0.0,0.04,0.0,0.01,0.04,71.0,7.5,
PS2,2009,Fighting,SNK Playmore,0.0,0.0,0.04,0.0,0.04,71.0,7.5,
DS,2008,Misc,Eidos Interactive,0.04,0.0,0.0,0.0,0.04,67.0,7.5,E
PS2,2006,Fighting,Crave Entertainment,0.02,0.02,0.0,0.01,0.04,60.0,7.0,T
PSP,2006,Racing,Xplosiv,0.04,0.0,0.0,0.0,0.04,52.0,7.5,E
PS4,2016,Racing,Milestone S.r.l,0.0,0.04,0.0,0.01,0.04,71.0,8.1,E
Wii,2008,Platform,Brash Entertainment,0.04,0.0,0.0,0.0,0.04,71.0,7.5,E10+
DS,2008,Adventure,Rising Star Games,0.04,0.0,0.0,0.0,0.04,48.0,6.2,T
PSP,2006,Sports,Activision,0.04,0.0,0.0,0.0,0.04,71.0,7.5,E
DS,2008,Misc,Capcom,0.0,0.0,0.04,0.0,0.04,71.0,7.5,
PS2,2007,Role-Playing,Nippon Ichi Software,0.0,0.0,0.04,0.0,0.04,71.0,7.5,
Wii,2011,Misc,Namco Bandai Games,0.03,0.01,0.0,0.0,0.04,71.0,7.5,E
DS,2008,Simulation,Ubisoft,0.04,0.0,0.0,0.0,0.04,71.0,7.5,
PS2,2006,Sports,Activision,0.02,0.02,0.0,0.01,0.04,46.0,7.5,T
PSP,2009,Adventure,Prototype,0.0,0.0,0.04,0.0,0.04,71.0,7.5,
SAT,1995,Misc,Sega,0.0,0.0,0.04,0.0,0.04,71.0,7.5,
PS2,2007,Fighting,Unknown,0.0,0.0,0.04,0.0,0.04,77.0,8.3,T
DS,2005,Misc,Success,0.0,0.0,0.04,0.0,0.04,71.0,7.5,
DS,2010,Misc,Natsume,0.04,0.0,0.0,0.0,0.04,71.0,7.5,
3DS,2015,Action,Little Orbit,0.0,0.04,0.0,0.0,0.04,71.0,7.5,E
GBA,2005,Misc,Zoo Digital Publishing,0.03,0.01,0.0,0.0,0.04,71.0,7.5,E
DS,2009,Adventure,Ubisoft,0.03,0.01,0.0,0.0,0.04,71.0,7.5,T
PC,2002,Action,Take-Two Interactive,0.0,0.04,0.0,0.01,0.04,88.0,9.1,M
GC,2002,Platform,Ubisoft,0.03,0.01,0.0,0.0,0.04,61.0,3.0,E
PSV,2015,Action,Namco Bandai Games,0.0,0.0,0.04,0.0,0.04,71.0,7.5,
PS,1996,Action,Electronic Arts Victor,0.02,0.02,0.0,0.0,0.04,71.0,7.5,
DS,2007,Action,Namco Bandai Games,0.0,0.0,0.04,0.0,0.04,71.0,7.5,
XB,2005,Shooter,Codemasters,0.03,0.01,0.0,0.0,0.04,64.0,8.3,T
DS,2008,Action,Destineer,0.04,0.0,0.0,0.0,0.04,71.0,7.5,E
DS,2007,Action,Take-Two Interactive,0.04,0.0,0.0,0.0,0.04,35.0,4.8,E10+
DS,2009,Puzzle,Phenomedia,0.04,0.0,0.0,0.0,0.04,71.0,7.5,E
X360,2007,Sports,Sega,0.03,0.01,0.0,0.0,0.04,80.0,6.8,E
PS,2001,Action,Red Storm Entertainment,0.02,0.02,0.0,0.0,0.04,71.0,7.5,
DS,2007,Strategy,Square Enix,0.01,0.0,0.03,0.0,0.04,72.0,8.9,E10+
DS,2010,Simulation,Asylum Entertainment,0.04,0.0,0.0,0.0,0.04,71.0,7.5,E
DS,2010,Misc,505 Games,0.04,0.0,0.0,0.0,0.04,71.0,7.5,E
DS,2008,Misc,Nintendo,0.0,0.0,0.04,0.0,0.04,71.0,7.5,
PC,2009,Strategy,Kalypso Media,0.0,0.04,0.0,0.01,0.04,79.0,8.1,T
GBA,2004,Role-Playing,Konami Digital Entertainment,0.03,0.01,0.0,0.0,0.04,78.0,8.5,T
PC,2016,Adventure,Square Enix,0.01,0.04,0.0,0.0,0.04,83.0,8.6,M
PS,1998,Strategy,Tecmo Koei,0.0,0.0,0.04,0.0,0.04,71.0,7.5,
3DS,2013,Simulation,Tecmo Koei,0.0,0.0,0.04,0.0,0.04,71.0,7.5,
PC,2011,Puzzle,Rising Star Games,0.0,0.04,0.0,0.01,0.04,71.0,7.5,
PS,1996,Misc,Media Works,0.0,0.0,0.04,0.0,0.04,71.0,7.5,
DS,2007,Action,Nobilis,0.04,0.0,0.0,0.0,0.04,71.0,7.5,E
GBA,2004,Sports,Summitsoft,0.03,0.01,0.0,0.0,0.04,71.0,7.5,E
GBA,2002,Shooter,THQ,0.03,0.01,0.0,0.0,0.04,65.0,7.5,T
PS3,2016,Action,Namco Bandai Games,0.0,0.0,0.04,0.0,0.04,71.0,7.5,
PSP,2007,Action,Codemasters,0.04,0.0,0.0,0.0,0.04,49.0,7.5,T
DS,2009,Misc,Mindscape,0.0,0.04,0.0,0.0,0.04,71.0,7.5,
XB,2004,Racing,Codemasters,0.03,0.01,0.0,0.0,0.04,71.0,8.3,T
Wii,2009,Sports,Big Ben Interactive,0.0,0.04,0.0,0.0,0.04,71.0,7.5,
DS,2008,Adventure,D3Publisher,0.04,0.0,0.0,0.0,0.04,58.0,7.5,E
PS4,2016,Action,Rebellion Developments,0.02,0.02,0.0,0.01,0.04,66.0,7.0,T
PS2,2000,Puzzle,Sony Computer Entertainment,0.0,0.0,0.04,0.0,0.04,71.0,7.5,
PSP,2009,Role-Playing,Atlus,0.0,0.0,0.04,0.0,0.04,71.0,7.5,
3DS,2016,Misc,FuRyu,0.0,0.0,0.04,0.0,0.04,71.0,7.5,
GBA,2005,Misc,Ubisoft,0.03,0.01,0.0,0.0,0.04,71.0,7.5,
PS2,2007,Misc,Paon,0.0,0.0,0.04,0.0,0.04,71.0,7.5,
PS,1997,Misc,Virgin Interactive,0.02,0.02,0.0,0.0,0.04,71.0,7.5,
DS,2009,Action,Namco Bandai Games,0.0,0.0,0.04,0.0,0.04,71.0,7.5,
PS2,2002,Fighting,Playmore,0.0,0.0,0.04,0.0,0.04,71.0,7.5,
PSV,2014,Action,Compile Heart,0.0,0.0,0.04,0.0,0.04,71.0,7.5,
PC,2015,Sports,Konami Digital Entertainment,0.0,0.04,0.0,0.0,0.04,76.0,4.3,E
DS,2008,Role-Playing,Success,0.04,0.0,0.0,0.0,0.04,69.0,7.7,E10+
XOne,2016,Action,Activision,0.03,0.01,0.0,0.0,0.04,55.0,6.0,T
PS3,2014,Puzzle,Sega,0.0,0.0,0.04,0.0,0.04,71.0,7.5,
PS2,2005,Adventure,Kadokawa Shoten,0.0,0.0,0.04,0.0,0.04,71.0,7.5,
PC,2009,Adventure,Focus Home Interactive,0.0,0.04,0.0,0.01,0.04,79.0,8.2,T
GC,2007,Action,Disney Interactive Studios,0.03,0.01,0.0,0.0,0.04,68.0,7.5,E10+
DS,2008,Adventure,Konami Digital Entertainment,0.0,0.0,0.04,0.0,0.04,71.0,7.5,
PSV,2016,Action,Nippon Ichi Software,0.0,0.0,0.04,0.0,0.04,71.0,7.5,
Wii,2009,Misc,Nintendo,0.0,0.0,0.04,0.0,0.04,71.0,7.5,
Wii,2014,Action,Disney Interactive Studios,0.0,0.04,0.0,0.0,0.04,71.0,7.5,
GG,1992,Platform,Sega,0.0,0.0,0.04,0.0,0.04,71.0,7.5,
XB,2006,Racing,Empire Interactive,0.03,0.01,0.0,0.0,0.04,73.0,7.3,T
3DS,2011,Platform,Crave Entertainment,0.04,0.0,0.0,0.0,0.04,71.0,7.5,E
PS2,2006,Shooter,Eidos Interactive,0.02,0.02,0.0,0.01,0.04,71.0,8.2,T
Wii,2008,Sports,Atari,0.04,0.0,0.0,0.0,0.04,37.0,7.8,E
PS2,2003,Action,Sega,0.02,0.02,0.0,0.01,0.04,61.0,7.5,M
GBA,2003,Platform,Midway Games,0.03,0.01,0.0,0.0,0.04,43.0,7.5,E
PC,2009,Action,Ubisoft,0.0,0.03,0.0,0.01,0.04,70.0,7.3,T
X360,2014,Shooter,Namco Bandai Games,0.02,0.02,0.0,0.0,0.04,35.0,5.8,M
PSP,2006,Misc,Sony Computer Entertainment,0.0,0.0,0.04,0.0,0.04,71.0,7.5,
GC,2004,Shooter,SCi,0.03,0.01,0.0,0.0,0.04,71.0,7.5,
Wii,2010,Racing,Storm City Games,0.04,0.0,0.0,0.0,0.04,71.0,7.5,E
DS,2006,Simulation,505 Games,0.04,0.0,0.0,0.0,0.04,48.0,7.5,E10+
Wii,2009,Misc,Zoo Digital Publishing,0.04,0.0,0.0,0.0,0.04,71.0,7.5,
PSP,2010,Adventure,Idea Factory,0.0,0.0,0.04,0.0,0.04,71.0,7.5,
GC,2004,Action,Konami Digital Entertainment,0.03,0.01,0.0,0.0,0.04,60.0,7.5,T
GBA,2005,Action,Zoo Digital Publishing,0.03,0.01,0.0,0.0,0.04,71.0,7.5,
3DS,2015,Platform,Rising Star Games,0.01,0.0,0.03,0.0,0.04,82.0,8.5,E10+
3DS,2015,Action,Namco Bandai Games,0.0,0.0,0.04,0.0,0.04,71.0,7.5,
XB,2003,Strategy,Kool Kizz,0.03,0.01,0.0,0.0,0.04,74.0,8.8,E
PS3,2012,Adventure,Aqua Plus,0.0,0.0,0.04,0.0,0.04,71.0,7.5,
Wii,2007,Racing,Popcorn Arcade,0.04,0.0,0.0,0.0,0.04,71.0,7.5,
PC,2009,Action,Ubisoft,0.0,0.04,0.0,0.01,0.04,71.0,7.5,
SNES,1995,Platform,Banpresto,0.0,0.0,0.04,0.0,0.04,71.0,7.5,
GBA,2004,Role-Playing,Ubisoft,0.03,0.01,0.0,0.0,0.04,65.0,7.5,E
Wii,2007,Shooter,PQube,0.04,0.0,0.0,0.0,0.04,67.0,7.6,T
PS4,2014,Strategy,Tecmo Koei,0.03,0.0,0.0,0.01,0.04,80.0,8.1,T
DS,2006,Sports,Electronic Arts,0.04,0.0,0.0,0.0,0.04,43.0,7.5,E
GBA,2002,Shooter,BAM! Entertainment,0.03,0.01,0.0,0.0,0.04,60.0,7.5,E
PC,2007,Simulation,Monte Christo Multimedia,0.0,0.04,0.0,0.0,0.04,75.0,8.2,E
PS,1998,Fighting,SNK Playmore,0.0,0.0,0.04,0.0,0.04,71.0,7.5,
PSP,2012,Role-Playing,Compile Heart,0.0,0.0,0.04,0.0,0.04,71.0,7.5,
DS,2006,Action,MTO,0.0,0.0,0.04,0.0,0.04,71.0,7.5,
PSP,2011,Adventure,5pb,0.0,0.0,0.04,0.0,0.04,67.0,8.2,M
PSP,2009,Adventure,Spike,0.0,0.0,0.04,0.0,0.04,71.0,7.5,
PSP,2009,Misc,Aqua Plus,0.0,0.0,0.04,0.0,0.04,71.0,7.5,
PS2,2006,Adventure,Konami Digital Entertainment,0.0,0.0,0.04,0.0,0.04,71.0,7.5,
PS3,2012,Platform,D3Publisher,0.0,0.0,0.04,0.0,0.04,71.0,7.5,
DS,2008,Action,Takara Tomy,0.0,0.0,0.04,0.0,0.04,71.0,7.5,
X360,2006,Fighting,Ubisoft,0.04,0.0,0.0,0.0,0.04,60.0,6.1,T
DS,2008,Adventure,Spike,0.0,0.0,0.04,0.0,0.04,71.0,7.5,
PS2,2001,Simulation,Enterbrain,0.0,0.0,0.04,0.0,0.04,71.0,7.5,
Wii,2011,Sports,Tommo,0.04,0.0,0.0,0.0,0.04,71.0,7.5,
PSV,2012,Role-Playing,Level 5,0.0,0.0,0.04,0.0,0.04,71.0,7.5,
PS,1998,Action,Infogrames,0.02,0.02,0.0,0.0,0.04,71.0,7.5,
X360,2016,Action,Activision,0.01,0.03,0.0,0.0,0.04,71.0,4.3,T
XB,2004,Sports,Crave Entertainment,0.03,0.01,0.0,0.0,0.04,54.0,7.5,E
PC,2006,Simulation,Ubisoft,0.0,0.04,0.0,0.01,0.04,86.0,8.8,T
GBA,2002,Misc,Ubisoft,0.03,0.01,0.0,0.0,0.04,76.0,7.5,E
PS2,2004,Adventure,Sega,0.02,0.02,0.0,0.01,0.04,71.0,7.5,
DS,2009,Action,D3Publisher,0.04,0.0,0.0,0.0,0.04,71.0,7.5,E
PS2,2005,Action,Vivendi Games,0.02,0.02,0.0,0.01,0.04,47.0,5.0,M
PC,2003,Strategy,Eidos Interactive,0.0,0.04,0.0,0.0,0.04,78.0,8.2,T
DS,2011,Misc,Unknown,0.04,0.0,0.0,0.0,0.04,71.0,7.5,
PSV,2014,Adventure,Telltale Games,0.03,0.0,0.0,0.01,0.04,71.0,8.4,M
PSP,2007,Sports,Namco Bandai Games,0.01,0.01,0.01,0.01,0.04,68.0,6.3,E
PS2,2008,Adventure,Idea Factory,0.0,0.0,0.04,0.0,0.04,71.0,7.5,
XB,2003,Racing,Acclaim Entertainment,0.03,0.01,0.0,0.0,0.04,53.0,7.5,T
PSP,2008,Fighting,Marvelous Interactive,0.0,0.0,0.04,0.0,0.04,71.0,7.5,
3DS,2013,Action,Warner Bros. Interactive Entertainment,0.0,0.04,0.0,0.0,0.04,43.0,8.3,E
PS2,2006,Fighting,Namco Bandai Games,0.0,0.0,0.04,0.0,0.04,71.0,7.5,
PSP,2010,Adventure,Alchemist,0.0,0.0,0.04,0.0,0.04,71.0,7.5,
DS,2009,Action,Takara Tomy,0.0,0.0,0.04,0.0,0.04,71.0,7.5,
PC,2005,Role-Playing,NCSoft,0.0,0.03,0.0,0.01,0.04,71.0,8.8,T
Wii,2008,Action,Tecmo Koei,0.04,0.0,0.0,0.0,0.04,42.0,4.5,E10+
XB,2005,Sports,Global Star,0.03,0.01,0.0,0.0,0.04,66.0,7.7,M
PS3,2013,Simulation,Namco Bandai Games,0.0,0.0,0.04,0.0,0.04,71.0,7.5,
PS3,2015,Fighting,Namco Bandai Games,0.0,0.0,0.04,0.0,0.04,71.0,6.3,T
X360,2012,Sports,Microsoft Game Studios,0.02,0.01,0.0,0.0,0.04,71.0,7.5,
GBA,2001,Action,TDK Mediactive,0.03,0.01,0.0,0.0,0.04,71.0,7.5,
PS3,2016,Role-Playing,Square Enix,0.0,0.0,0.04,0.0,0.04,71.0,7.5,
XOne,2015,Adventure,505 Games,0.03,0.01,0.0,0.0,0.04,81.0,8.9,T
PS3,2015,Action,Electronic Arts,0.03,0.0,0.0,0.01,0.04,71.0,7.5,
Wii,2008,Shooter,Popcorn Arcade,0.04,0.0,0.0,0.0,0.04,71.0,7.5,
X360,2010,Shooter,Majesco Entertainment,0.04,0.0,0.0,0.0,0.04,38.0,1.7,T
DS,2008,Adventure,Legacy Interactive,0.04,0.0,0.0,0.0,0.04,43.0,7.5,E
DS,2011,Action,ChunSoft,0.0,0.0,0.04,0.0,0.04,71.0,7.5,
3DS,2014,Action,FuRyu,0.0,0.0,0.04,0.0,0.04,71.0,7.5,
DS,2006,Adventure,Marvelous Interactive,0.0,0.0,0.04,0.0,0.04,71.0,7.5,
Wii,2007,Adventure,Zushi Games,0.04,0.0,0.0,0.0,0.04,71.0,7.5,E10+
PS3,2011,Misc,O-Games,0.03,0.0,0.0,0.0,0.04,71.0,7.5,T
PC,2006,Adventure,DreamCatcher Interactive,0.0,0.04,0.0,0.0,0.04,66.0,7.4,T
Wii,2007,Shooter,Starfish,0.04,0.0,0.0,0.0,0.04,71.0,7.5,E
GBA,2002,Action,Activision,0.03,0.01,0.0,0.0,0.04,68.0,7.5,E
XB,2006,Racing,Electronic Arts,0.03,0.01,0.0,0.0,0.04,72.0,7.0,E
PS,2000,Simulation,Konami Digital Entertainment,0.02,0.02,0.0,0.0,0.04,74.0,8.3,E
DS,2010,Puzzle,Foreign Media Games,0.04,0.0,0.0,0.0,0.04,71.0,7.5,E
PS2,2001,Action,Midas Interactive Entertainment,0.0,0.0,0.04,0.0,0.04,71.0,7.5,
XB,2004,Platform,Global Star,0.03,0.01,0.0,0.0,0.04,69.0,7.5,E
PS3,2013,Fighting,Namco Bandai Games,0.0,0.0,0.04,0.0,0.04,71.0,7.5,
PS2,2009,Simulation,Konami Digital Entertainment,0.0,0.0,0.04,0.0,0.04,71.0,7.5,
DS,2009,Simulation,505 Games,0.04,0.0,0.0,0.0,0.04,71.0,7.5,T
PS2,2002,Sports,Electronic Arts,0.0,0.0,0.04,0.0,0.04,71.0,7.5,
PS,2001,Sports,3DO,0.02,0.02,0.0,0.0,0.04,71.0,7.5,
PS4,2015,Fighting,Marvelous Interactive,0.01,0.0,0.02,0.0,0.04,70.0,6.9,T
PSP,2004,Puzzle,Ignition Entertainment,0.0,0.0,0.04,0.0,0.04,68.0,7.5,
DS,2007,Strategy,LucasArts,0.03,0.01,0.0,0.0,0.04,59.0,6.2,E
3DS,2011,Misc,Nintendo,0.0,0.0,0.04,0.0,0.04,71.0,7.5,
XB,2003,Fighting,Hudson Soft,0.03,0.01,0.0,0.0,0.04,61.0,8.6,T
PC,2010,Racing,Disney Interactive Studios,0.0,0.04,0.0,0.01,0.04,79.0,8.2,E10+
XB,2002,Sports,Microids,0.03,0.01,0.0,0.0,0.04,67.0,7.5,E
PC,2012,Shooter,Capcom,0.0,0.04,0.0,0.0,0.04,69.0,5.9,M
PSV,2014,Adventure,Kadokawa Games,0.0,0.0,0.04,0.0,0.04,71.0,7.5,
PSP,2007,Action,D3Publisher,0.04,0.0,0.0,0.0,0.04,75.0,7.3,M
GC,2003,Sports,Midway Games,0.03,0.01,0.0,0.0,0.04,76.0,7.5,E
PSP,2007,Action,Conspiracy Entertainment,0.04,0.0,0.0,0.0,0.04,37.0,7.5,M
DS,2005,Misc,Sega,0.0,0.0,0.04,0.0,0.04,71.0,7.5,
DS,2007,Role-Playing,Gust,0.0,0.0,0.04,0.0,0.04,71.0,7.5,
Wii,2008,Platform,Popcorn Arcade,0.04,0.0,0.0,0.0,0.04,71.0,0.2,E
PSV,2014,Fighting,Arc System Works,0.02,0.0,0.02,0.01,0.04,71.0,7.5,
XB,2006,Sports,Take-Two Interactive,0.03,0.01,0.0,0.0,0.04,71.0,7.5,
PSP,2011,Adventure,Idea Factory,0.0,0.0,0.04,0.0,0.04,71.0,7.5,
DS,2006,Misc,Nintendo,0.0,0.0,0.04,0.0,0.04,71.0,7.5,
XB,2005,Shooter,SNK Playmore,0.03,0.01,0.0,0.0,0.04,71.0,7.5,
PSP,2012,Action,Namco Bandai Games,0.0,0.0,0.04,0.0,0.04,71.0,7.5,
PS3,2013,Racing,Deep Silver,0.02,0.01,0.0,0.01,0.04,13.0,1.0,M
PC,2007,Racing,Electronic Arts,0.0,0.04,0.0,0.01,0.04,70.0,5.9,E10+
GC,2004,Fighting,Atari,0.03,0.01,0.0,0.0,0.04,71.0,8.1,T
PC,2011,Adventure,Ubisoft,0.01,0.02,0.0,0.01,0.04,71.0,7.5,T
3DS,2013,Action,Namco Bandai Games,0.0,0.0,0.04,0.0,0.04,71.0,7.5,
3DS,2015,Action,Ubisoft,0.03,0.0,0.0,0.0,0.04,46.0,5.8,E
